,"China, mainland",India,United States of America,Brazil,Russian Federation
Y1961,477279.0,309565.0,559347.0,126501.0,0.0
Y1962,499497.0,318802.0,556319.0,142536.0,0.0
Y1963,501795.0,315155.0,552630.0,152178.0,0.0
Y1964,506368.0,324564.0,555677.0,154698.0,0.0
Y1965,565759.0,327376.0,589288.0,152060.0,0.0
Y1966,612557.0,336008.0,596129.0,165022.0,0.0
Y1967,617260.0,347493.0,603444.0,164557.0,0.0
Y1968,615253.0,361409.0,628936.0,188016.0,0.0
Y1969,633064.0,375288.0,647869.0,182424.0,0.0
Y1970,674036.0,391899.0,646576.0,174144.0,0.0
Y1971,684128.0,389532.0,678905.0,175109.0,0.0
Y1972,673971.0,395202.0,691014.0,176177.0,0.0
Y1973,763734.0,412069.0,683179.0,172396.0,0.0
Y1974,769853.0,410204.0,613150.0,180358.0,0.0
Y1975,785904.0,437783.0,642217.0,194890.0,0.0
Y1976,772309.0,431078.0,652239.0,194142.0,0.0
Y1977,815901.0,466611.0,674580.0,188157.0,0.0
Y1978,892054.0,487270.0,711429.0,198661.0,0.0
Y1979,889964.0,482421.0,730542.0,209478.0,0.0
Y1980,910616.0,481055.0,700241.0,217920.0,0.0
Y1981,910636.0,510580.0,717866.0,212337.0,0.0
Y1982,976332.0,516968.0,751515.0,213009.0,0.0
Y1983,1057279.0,566543.0,730857.0,196580.0,0.0
Y1984,1098250.0,590201.0,767510.0,200957.0,0.0
Y1985,1084674.0,592570.0,781596.0,230484.0,0.0
Y1986,1126328.0,605447.0,813060.0,231731.0,0.0
Y1987,1182204.0,623575.0,832334.0,245937.0,0.0
Y1988,1204810.0,654356.0,760821.0,247874.0,0.0
Y1989,1227666.0,690928.0,797454.0,262938.0,0.0
Y1990,1271885.0,681169.0,835926.0,256259.0,0.0
Y1991,1295563.0,716474.0,830811.0,268171.0,0.0
Y1992,1379165.0,750584.0,864199.0,277632.0,455486.0
Y1993,1522331.0,758811.0,850575.0,269658.0,409393.0
Y1994,1605487.0,780455.0,913340.0,285793.0,353898.0
Y1995,1718202.0,808109.0,851713.0,310646.0,338005.0
Y1996,1816327.0,823412.0,906255.0,296138.0,320115.0
Y1997,1851318.0,856044.0,910904.0,304748.0,335851.0
Y1998,1919109.0,907653.0,921577.0,301059.0,294507.0
Y1999,2008790.0,949204.0,939541.0,311399.0,293114.0
Y2000,2164099.0,934346.0,964963.0,332274.0,310241.0
Y2001,2219943.0,951943.0,951203.0,322017.0,346387.0
Y2002,2300071.0,932637.0,937972.0,333042.0,328948.0
Y2003,2314540.0,964933.0,962709.0,335122.0,337315.0
Y2004,2374847.0,958430.0,997495.0,353635.0,358233.0
Y2005,2432309.0,988532.0,982124.0,357158.0,357155.0
Y2006,2439722.0,1056344.0,948891.0,376499.0,366983.0
Y2007,2527905.0,1120149.0,965464.0,384071.0,352277.0
Y2008,2653346.0,1164815.0,936095.0,423546.0,391224.0
Y2009,2744815.0,1166783.0,929625.0,410338.0,357694.0
Y2010,2865116.0,1226850.0,909478.0,429110.0,324189.0
Y2011,2994756.0,1267739.0,892416.0,449439.0,377675.0
Y2012,3108577.0,1295189.0,910537.0,439247.0,347165.0
Y2013,3191155.0,1336593.0,938639.0,439967.0,370913.0
